gene_name,log10FPKM,,,
CABZ01067169.1,-0.509,,,
CABZ01067175.1,-4.000,,,
CABZ01067232.1,-0.444,,,
CABZ01067348.1,-0.151,,,
CABZ01067440.1,-4.000,,,
CABZ01067557.1,-2.477,,,
CABZ01067558.1,-0.671,,,
CABZ01067581.1,-0.972,,,
CABZ01067657.1,-0.558,,,
CABZ01067754.1,-1.062,,,
CABZ01067973.1,-4.000,,,
CABZ01067979.1,-0.591,,,
CABZ01067980.1,0.108,,,
CABZ01068050.1,-0.737,,,
CABZ01068177.1,1.722,,,
CABZ01068208.1,-4.000,,,
CABZ01068209.1,-4.000,,,
CABZ01068244.1,-1.398,,,
CABZ01068246.1,-0.405,,,
CABZ01068248.1,0.498,,,
CABZ01068251.1,1.027,,,
CABZ01068273.1,-0.281,,,
CABZ01068352.1,-1.778,,,
CABZ01068356.1,-0.344,,,
CABZ01068358.1,0.878,,,
CABZ01068359.1,-4.000,,,
CABZ01068362.1,1.399,,,
CABZ01068366.1,0.976,,,
CABZ01068367.1,0.536,,,
CABZ01068469.1,0.607,,,
CABZ01068499.1,-0.033,,,
CABZ01068600.1,0.810,,,
CABZ01068842.1,-4.000,,,
CABZ01069020.1,-0.436,,,
CABZ01069022.1,-0.370,,,
CABZ01069022.2,0.551,,,
CABZ01069040.1,1.043,,,
CABZ01069162.1,-1.222,,,
CABZ01069184.1,-2.000,,,
CABZ01069324.1,-1.273,,,
CABZ01069436.1,-1.436,,,
CABZ01069945.1,-1.363,,,
CABZ01070258.1,-1.778,,,
CABZ01070469.1,0.630,,,
CABZ01070527.1,0.018,,,
CABZ01070579.1,-2.477,,,
CABZ01070631.1,-0.834,,,
CABZ01070747.1,-0.095,,,
CABZ01070852.1,0.694,,,
CABZ01070852.2,-4.000,,,
CABZ01071020.1,1.459,,,
CABZ01071056.1,0.659,,,
CABZ01071061.1,-1.778,,,
CABZ01071326.1,-2.000,,,
CABZ01071845.1,-1.523,,,
CABZ01071848.1,0.280,,,
CABZ01071874.1,-4.000,,,
CABZ01071903.1,0.293,,,
CABZ01071909.1,-1.301,,,
CABZ01071939.1,0.500,,,
CABZ01071972.1,-4.000,,,
CABZ01072077.1,-1.062,,,
CABZ01072083.2,-0.875,,,
CABZ01072084.1,-4.000,,,
CABZ01072096.1,-0.198,,,
CABZ01072157.1,-0.678,,,
CABZ01072242.1,-0.353,,,
CABZ01072245.1,-0.239,,,
CABZ01072254.1,-4.000,,,
CABZ01072309.1,-0.614,,,
CABZ01072309.2,-0.626,,,
CABZ01072312.1,-4.000,,,
CABZ01072406.1,-4.000,,,
CABZ01072487.1,0.156,,,
CABZ01072487.2,-0.778,,,
CABZ01072523.1,-4.000,,,
CABZ01072532.1,-1.198,,,
CABZ01072548.1,-2.000,,,
CABZ01072563.1,-2.176,,,
CABZ01072614.1,1.823,,,
CABZ01072810.1,0.126,,,
CABZ01072815.1,-1.079,,,
CABZ01072848.1,0.249,,,
CABZ01072885.1,-0.959,,,
CABZ01072950.1,-1.778,,,
CABZ01072952.1,1.263,,,
CABZ01072989.1,-1.331,,,
CABZ01073015.1,-1.523,,,
CABZ01073033.1,-0.322,,,
CABZ01073083.1,0.073,,,
CABZ01073097.1,-0.384,,,
CABZ01073166.1,-4.000,,,
CABZ01073197.1,-0.331,,,
CABZ01073265.1,-1.363,,,
CABZ01073424.1,-0.729,,,
CABZ01073424.2,0.219,,,
CABZ01073736.1,-4.000,,,
CABZ01073795.1,-1.875,,,
CABZ01073834.1,-4.000,,,
CABZ01074085.1,-4.000,,,
CABZ01074130.1,2.919,,,
CABZ01074203.1,-1.875,,,
CABZ01074298.1,-4.000,,,
CABZ01074304.1,-0.027,,,
CABZ01074307.1,-0.143,,,
CABZ01074307.2,0.229,,,
CABZ01074363.1,-0.310,,,
CABZ01074397.1,0.129,,,
CABZ01074453.1,0.691,,,
CABZ01074470.1,-4.000,,,
CABZ01074708.1,-1.875,,,
CABZ01074745.1,1.495,,,
CABZ01074886.1,-4.000,,,
CABZ01074888.1,-0.721,,,
CABZ01074913.1,-0.217,,,
CABZ01074994.1,-4.000,,,
CABZ01075068.1,-0.658,,,
CABZ01075078.1,-0.946,,,
CABZ01075114.1,-4.000,,,
CABZ01075125.1,-0.357,,,
CABZ01075242.1,0.963,,,
CABZ01075274.1,-0.067,,,
CABZ01075319.1,-4.000,,,
CABZ01075509.1,0.896,,,
CABZ01075521.1,0.123,,,
CABZ01075572.1,-0.591,,,
CABZ01075611.1,0.206,,,
CABZ01075618.1,-4.000,,,
CABZ01075628.1,0.389,,,
cabz01076234.2,-1.699,,,
CABZ01076275.1,-0.513,,,
CABZ01076667.1,1.802,,,
CABZ01076737.1,-1.030,,,
CABZ01076744.1,-1.574,,,
CABZ01076758.1,0.880,,,
CABZ01076968.1,-0.886,,,
CABZ01076996.1,0.819,,,
CABZ01077121.1,0.097,,,
CABZ01077176.1,-1.331,,,
CABZ01077217.1,-0.084,,,
CABZ01077217.2,-1.875,,,
CABZ01077218.1,0.671,,,
CABZ01077220.1,-4.000,,,
CABZ01077220.2,-1.135,,,
CABZ01077555.1,-0.504,,,
CABZ01077956.1,-0.380,,,
CABZ01078055.1,0.897,,,
CABZ01078080.1,-1.273,,,
CABZ01078120.1,-1.523,,,
CABZ01078244.2,-4.000,,,
CABZ01078261.1,0.241,,,
CABZ01078320.1,-0.097,,,
CABZ01078350.1,-0.473,,,
CABZ01078594.1,1.554,,,
CABZ01078600.1,0.214,,,
CABZ01078606.1,-4.000,,,
CABZ01078607.1,-0.281,,,
CABZ01078663.1,-4.000,,,
CABZ01078733.1,-0.814,,,
CABZ01078734.1,0.597,,,
CABZ01078737.1,-0.307,,,
CABZ01078767.1,-2.000,,,
CABZ01078858.1,-4.000,,,
CABZ01078989.1,-0.778,,,
CABZ01079005.1,-0.456,,,
CABZ01079080.1,-1.062,,,
CABZ01079081.1,-1.363,,,
CABZ01079116.1,-0.436,,,
CABZ01079178.1,-4.000,,,
CABZ01079179.1,-0.933,,,
CABZ01079192.1,-0.499,,,
CABZ01079241.1,-0.108,,,
CABZ01079251.1,-0.787,,,
CABZ01079267.1,-0.692,,,
CABZ01079276.1,-0.986,,,
CABZ01079280.1,-4.000,,,
CABZ01079281.1,-0.178,,,
CABZ01079302.1,0.061,,,
CABZ01079427.1,1.053,,,
CABZ01079480.1,-0.796,,,
CABZ01079550.1,-1.301,,,
CABZ01079663.1,-0.176,,,
CABZ01079748.1,-0.805,,,
CABZ01079804.1,-4.000,,,
CABZ01079818.1,-4.000,,,
CABZ01079837.1,-4.000,,,
CABZ01079853.1,-1.046,,,
CABZ01079870.1,-1.632,,,
CABZ01079872.1,-4.000,,,
CABZ01079873.1,-4.000,,,
CABZ01080006.1,-4.000,,,
CABZ01080056.1,0.657,,,
CABZ01080074.1,-0.129,,,
CABZ01080098.1,-4.000,,,
CABZ01080371.1,0.882,,,
CABZ01080371.2,0.759,,,
CABZ01080371.3,-4.000,,,
CABZ01080375.1,0.004,,,
CABZ01080434.1,-4.000,,,
CABZ01080550.1,-4.000,,,
CABZ01080568.1,0.650,,,
CABZ01080587.1,-4.000,,,
CABZ01080599.1,-1.331,,,
CABZ01080702.1,0.458,,,
CABZ01081294.1,-0.796,,,
CABZ01081385.1,-0.021,,,
CABZ01081490.1,-4.000,,,
CABZ01081535.1,0.057,,,
CABZ01081730.1,0.183,,,
CABZ01081748.1,-0.460,,,
CABZ01081752.1,-0.072,,,
CABZ01081752.2,-0.215,,,
CABZ01081752.3,0.013,,,
CABZ01081777.1,-2.176,,,
CABZ01081780.1,-4.000,,,
CABZ01081830.2,-4.000,,,
CABZ01081897.1,-0.210,,,
CABZ01081908.1,-1.273,,,
CABZ01081909.1,0.659,,,
CABZ01083166.1,0.287,,,
CABZ01083442.1,-0.083,,,
CABZ01083448.1,0.200,,,
CABZ01083546.1,-1.363,,,
CABZ01083778.1,-4.000,,,
CABZ01083815.1,-2.477,,,
CABZ01083937.1,-4.000,,,
CABZ01083943.1,0.293,,,
CABZ01083945.1,-1.523,,,
CABZ01084081.1,-1.398,,,
CABZ01084131.1,0.801,,,
CABZ01084225.1,-1.436,,,
CABZ01084230.1,0.303,,,
CABZ01084340.1,-4.000,,,
CABZ01084347.1,-0.972,,,
CABZ01084382.1,-1.030,,,
CABZ01084501.2,0.211,,,
CABZ01084501.3,-2.477,,,
CABZ01084564.1,-4.000,,,
CABZ01084566.1,-0.019,,,
CABZ01084575.1,-2.477,,,
CABZ01084603.1,-0.558,,,
CABZ01084617.1,-0.824,,,
CABZ01084774.1,-4.000,,,
CABZ01084774.2,-4.000,,,
CABZ01084793.1,-0.331,,,
CABZ01084942.1,-1.030,,,
CABZ01084961.1,-1.632,,,
CABZ01084963.1,0.580,,,
CABZ01085052.1,1.084,,,
CABZ01085061.1,-1.523,,,
CABZ01085137.1,-4.000,,,
CABZ01085139.1,2.052,,,
CABZ01085140.1,-2.176,,,
CABZ01085177.1,-0.761,,,
CABZ01085195.1,-4.000,,,
CABZ01085201.1,0.134,,,
CABZ01085275.1,-4.000,,,
CABZ01085365.1,-0.460,,,
CABZ01085594.1,-1.398,,,
CABZ01085626.1,0.685,,,
CABZ01085658.1,0.501,,,
CABZ01085662.1,-0.645,,,
CABZ01085700.1,-0.959,,,
CABZ01085710.1,0.486,,,
CABZ01085878.1,-0.006,,,
CABZ01085887.1,-0.864,,,
CABZ01086029.1,1.023,,,
CABZ01086041.1,0.787,,,
CABZ01086127.1,-4.000,,,
CABZ01086139.1,-4.000,,,
CABZ01086293.1,0.413,,,
CABZ01086574.1,-0.834,,,
CABZ01086611.1,-4.000,,,
CABZ01086734.1,0.338,,,
CABZ01086755.1,-4.000,,,
CABZ01086835.1,-2.000,,,
CABZ01086877.1,-1.015,,,
CABZ01087025.1,-4.000,,,
CABZ01087025.2,-4.000,,,
CABZ01087025.3,-2.176,,,
CABZ01087091.1,-4.000,,,
CABZ01087224.1,-4.000,,,
CABZ01087415.1,0.425,,,
CABZ01087502.1,-4.000,,,
CABZ01087514.1,0.319,,,
CABZ01087560.1,1.006,,,
CABZ01087564.1,0.338,,,
CABZ01087566.1,-2.176,,,
CABZ01087629.1,0.109,,,
CABZ01087948.1,0.295,,,
CABZ01087953.1,-4.000,,,
CABZ01088025.1,-4.000,,,
CABZ01088036.1,0.241,,,
CABZ01088049.1,0.014,,,
CABZ01088109.1,0.818,,,
CABZ01088134.1,-1.331,,,
CABZ01088149.1,0.949,,,
CABZ01088229.1,-4.000,,,
CABZ01088271.1,0.188,,,
CABZ01088274.1,0.642,,,
CABZ01088275.1,-1.015,,,
CABZ01088308.1,-1.222,,,
CABZ01088346.1,-4.000,,,
CABZ01088367.1,-0.844,,,
CABZ01088428.1,0.532,,,
CABZ01088484.1,-0.959,,,
CABZ01088864.1,0.735,,,
CABZ01088982.1,-4.000,,,
CABZ01089081.1,-4.000,,,
CABZ01089777.1,0.289,,,
CABZ01089980.1,-4.000,,,
CABZ01090041.1,-0.921,,,
CABZ01090144.1,-0.237,,,
CABZ01090219.1,-1.015,,,
CABZ01090361.1,0.221,,,
CABZ01090373.1,0.810,,,
CABZ01090544.1,-0.436,,,
CABZ01090785.1,0.266,,,
CABZ01090890.1,0.160,,,
CABZ01092072.1,-4.000,,,
CABZ01092156.1,2.281,,,
CABZ01092170.1,-0.770,,,
CABZ01092282.1,0.141,,,
CABZ01092745.1,-4.000,,,
CABZ01092746.1,-0.301,,,
CABZ01092781.1,-0.473,,,
CABZ01092907.1,-4.000,,,
CABZ01092942.1,-0.499,,,
CABZ01092982.1,-4.000,,,
cabz01093075.1,-2.477,,,
CABZ01093428.1,-4.000,,,
CABZ01093429.1,-4.000,,,
CABZ01093502.1,-2.477,,,
CABZ01094390.1,-4.000,,,
CABZ01095001.1,-0.331,,,
CABZ01096573.1,-4.000,,,
CABZ01099795.1,-0.499,,,
CABZ01099833.1,-0.745,,,
CABZ01099847.1,-0.805,,,
CABZ01100185.1,0.768,,,
CABZ01100278.1,-0.137,,,
CABZ01100304.1,-1.632,,,
CABZ01100396.1,-1.875,,,
CABZ01101739.1,-4.000,,,
CABZ01101813.1,-0.854,,,
CABZ01101984.1,-0.357,,,
CABZ01101996.1,-4.000,,,
CABZ01102038.1,-0.579,,,
CABZ01102039.1,0.607,,,
CABZ01102109.1,-2.176,,,
CABZ01102115.1,-4.000,,,
CABZ01102170.1,-0.060,,,
CABZ01102201.1,-4.000,,,
CABZ01102240.1,1.782,,,
CABZ01102517.1,-1.273,,,
CABZ01102518.1,-2.477,,,
CABZ01103860.1,-4.000,,,
CABZ01103862.1,0.333,,,
CABZ01103869.1,-4.000,,,
CABZ01103870.1,-4.000,,,
CABZ01109019.1,-4.000,,,
CABZ01109021.1,-4.000,,,
CABZ01109058.1,0.214,,,
CABZ01109081.1,-0.370,,,
CABZ01109480.1,-1.079,,,
CABZ01109481.1,-0.770,,,
CABZ01109604.1,0.602,,,
CABZ01110379.1,-0.123,,,
CABZ01110881.1,0.769,,,
CABZ01111454.1,-0.523,,,
CABZ01111496.1,0.514,,,
CABZ01111555.1,0.386,,,
CABZ01111953.1,-0.247,,,
CABZ01111959.1,-1.097,,,
CABZ01112025.1,-1.030,,,
CABZ01112049.1,-0.770,,,
CABZ01112050.1,-0.436,,,
CABZ01112344.1,-1.015,,,
CABZ01112387.1,0.682,,,
CABZ01112461.1,-0.986,,,
CABZ01112656.1,1.715,,,
CABZ01112732.1,-4.000,,,
CABZ01112864.1,-1.000,,,
CABZ01113192.1,0.342,,,
CABZ01113369.1,-1.198,,,
CABZ01113373.1,-1.301,,,
CABZ01113467.1,-1.477,,,
CABZ01113599.1,0.273,,,
CABZ01113771.1,0.630,,,
CABZ01113812.1,0.445,,,
CABZ01113815.1,0.167,,,
CABZ01113816.1,-0.265,,,
CABZ01113830.1,-1.015,,,
CABZ01113954.1,1.539,,,
CABZ01113981.1,-1.030,,,
CABZ01114053.1,0.150,,,
CABZ01114105.1,-0.591,,,
CABZ01114581.1,-0.824,,,
CABZ01115113.1,0.191,,,
CABZ01117348.1,-0.844,,,
CABZ01117357.1,-0.596,,,
CABZ01117603.1,-1.699,,,
CABZ01117607.1,0.102,,,
CABZ01117706.1,-4.000,,,
CABZ01117752.1,-1.015,,,
CABZ01117780.1,-4.000,,,
CABZ01117840.1,-1.198,,,
CABZ01118004.1,0.230,,,
CABZ01118270.1,-1.097,,,
CABZ01118575.1,0.161,,,
CABZ01118738.1,-4.000,,,
CABZ01118767.1,-1.699,,,
CABZ01118770.1,-4.000,,,
CACFD1,0.575,,,
cachd1,0.952,,,
cacna1aa,-0.608,,,
cacna1ab,-0.394,,,
cacna1ba,-0.796,,,
cacna1bb,-1.632,,,
cacna1c,-1.301,,,
cacna1da,-1.363,,,
cacna1db,-0.360,,,
cacna1ea,-1.778,,,
cacna1eb,-1.632,,,
cacna1fa,-0.104,,,
cacna1fb,-0.569,,,
cacna1g,-1.331,,,
cacna1ha,-0.172,,,
cacna1hb,-4.000,,,
cacna1i,-1.015,,,
cacna1sa,0.287,,,
cacna1sb,-0.602,,,
CACNA2D1,-1.778,,,
cacna2d1a,-0.038,,,
cacna2d2a,-0.325,,,
cacna2d2b,-1.778,,,
cacna2d3,-0.824,,,
CACNA2D3 (1 of many),-1.331,,,
cacna2d4a,-0.059,,,
cacna2d4b,0.397,,,
cacnb1,0.204,,,
cacnb2a,-0.106,,,
cacnb2b,0.073,,,
cacnb3a,-2.477,,,
cacnb3b,-0.440,,,
cacnb4a,-1.030,,,
cacnb4b,-0.001,,,
cacng1a,-0.574,,,
cacng1b,-4.000,,,
cacng2a,-0.538,,,
cacng2b,-0.638,,,
cacng3a,-4.000,,,
cacng3b,-0.307,,,
cacng4a,-0.897,,,
cacng4b,-1.115,,,
cacng5a,-4.000,,,
cacng5b,-4.000,,,
cacng6a,-0.237,,,
cacng6b,-0.295,,,
cacng7a,-0.632,,,
cacng7b,-2.000,,,
cacng8a,-1.523,,,
cacng8b,-0.273,,,
cactin,0.674,,,
cacul1,0.453,,,
cacybp,1.437,,,
cad,0.693,,,
cadm1a,0.675,,,
cadm1b,-1.015,,,
cadm2a,0.126,,,
cadm2b,-1.115,,,
cadm3,0.966,,,
cadm4,0.751,,,
cadps2,0.163,,,
cadpsa,-0.543,,,
cadpsb,-0.413,,,
cahz,0.904,,,
caiap,-4.000,,,
calb1,-1.015,,,
calb2a,1.032,,,
calb2b,1.132,,,
calca,-0.176,,,
calcoco1a,0.911,,,
calcoco1b,-1.222,,,
calcoco2,-0.591,,,
calcr,-0.844,,,
calcrla,-0.844,,,
calcrlb,-0.448,,,
cald1a,1.030,,,
cald1b,-0.090,,,
calhm1,-0.770,,,
calhm2,1.126,,,
CALHM2 (1 of many),-4.000,,,
calhm3,-0.528,,,
calhm5.1,0.394,,,
calhm5.2,0.829,,,
calhm6,-0.509,,,
calm1b,1.563,,,
calm2a,1.379,,,
calm2b,2.185,,,
calm3b,2.479,,,
calml4a,0.076,,,
calml4b,-0.436,,,
caln1,-0.632,,,
caln2,-1.015,,,
calr,1.293,,,
calr3a,1.898,,,
calr3b,1.166,,,
calua,1.696,,,
calub,1.358,,,
caly,-0.456,,,
camk1a,-0.558,,,
camk1b,1.029,,,
camk1da,-0.384,,,
camk1db,-0.145,,,
camk1ga,0.139,,,
camk1gb,-0.047,,,
camk2a,-1.273,,,
camk2b1,0.782,,,
camk2b2,-2.477,,,
camk2d1,1.953,,,
camk2d2,0.096,,,
camk2g1,1.398,,,
camk2g2,1.055,,,
CAMK2N1,-0.217,,,
camk2n1a,0.245,,,
camk2n2,0.379,,,
camk4,-0.699,,,
camkk1a,0.252,,,
camkk1b,-0.509,,,
camkmt,-0.189,,,
camkva,-0.353,,,
camkvb,-1.699,,,
camkvl,-0.367,,,
camlg,0.121,,,
camsap1a,-0.380,,,
camsap1b,0.471,,,
camsap2a,0.007,,,
camsap2b,0.605,,,
camta1,-1.875,,,
camta1a,-0.331,,,
camta1b,-0.198,,,
camta2,0.970,,,
cand1,1.530,,,
cand2,-0.814,,,
cant1a,1.050,,,
cant1b,1.062,,,
canx,1.801,,,
cap1,2.356,,,
cap2,-0.237,,,
capga,-4.000,,,
capgb,1.985,,,
capn10,0.370,,,
capn12,2.197,,,
CAPN14,-0.244,,,
capn15,0.150,,,
capn1a,1.771,,,
capn1b,-2.477,,,
capn2a,2.077,,,
capn2b,2.038,,,
capn2l,1.253,,,
capn3a,-1.523,,,
capn3b,0.346,,,
capn5a,1.130,,,
capn5b,-0.761,,,
capn7,0.630,,,
capn8,1.543,,,
capn9,0.715,,,
capns1a,3.097,,,
capns1b,2.545,,,
caprin1a,1.060,,,
caprin1b,1.454,,,
caprin2,-4.000,,,
caps2,-1.699,,,
capsla,-0.038,,,
capslb,-0.651,,,
capza1a,2.291,,,
capza1b,2.289,,,
capzb,2.771,,,
car15,-4.000,,,
card11,0.076,,,
card14,-0.946,,,
card19,1.008,,,
card9,-1.331,,,
carf,0.872,,,
carhsp1,1.616,,,
carm1,1.223,,,
carm1l,-4.000,,,
carmil1,1.870,,,
carmil2,-0.007,,,
carmil3,-1.247,,,
carnmt1,0.064,,,
cars,0.935,,,
cars2,0.684,,,
cart1,-4.000,,,
cart2,-4.000,,,
cart3,-0.106,,,
cart4,-0.262,,,
casc1,-1.046,,,
casc3,0.782,,,
casc4,0.492,,,
casd1,0.622,,,
caska,1.127,,,
caskb,0.792,,,
caskin1,-0.645,,,
casp2,0.925,,,
casp3a,1.229,,,
casp3b,0.677,,,
casp6,1.176,,,
casp6l1,1.443,,,
casp6l2,-4.000,,,
casp7,1.452,,,
casp8,0.953,,,
casp8ap2,-0.041,,,
casp8l1,-1.030,,,
casp8l2,0.027,,,
casp9,1.359,,,
caspa,1.440,,,
caspb,2.406,,,
caspbl,0.637,,,
casq1a,0.643,,,
casq1b,0.644,,,
casq2,0.759,,,
casr,-4.000,,,
cass4,-1.000,,,
cast,2.272,,,
castor1,-0.273,,,
castor2,1.194,,,
casz1,-0.260,,,
cat,1.589,,,
catip,-0.875,,,
cav1,2.055,,,
cav2,1.659,,,
cav3,0.940,,,
cavin1a,-0.787,,,
cavin1b,2.068,,,
cavin2a,2.216,,,
cavin2b,1.932,,,
cavin4a,0.943,,,
cavin4b,0.207,,,
cax1,-0.432,,,
cax2,-0.394,,,
cbarpb,-0.585,,,
cbfa2t2,1.097,,,
cbfa2t3,0.048,,,
cbfb,0.598,,,
cbl,0.490,,,
cblb,0.718,,,
cblc,0.927,,,
cbll1,0.612,,,
cbln1,-0.574,,,
cbln10,-2.176,,,
cbln11,-1.875,,,
cbln12,-4.000,,,
cbln13,-0.645,,,
cbln14,-4.000,,,
cbln17,-4.000,,,
cbln18,-0.538,,,
cbln20,-0.176,,,
cbln2a,-4.000,,,
cbln2b,-0.257,,,
cbln4,0.392,,,
cbln5,-1.062,,,
cbln6,-4.000,,,
cbln7,-1.523,,,
cbln8,-1.778,,,
cbln9,-1.176,,,
cbr1,-0.001,,,
cbr1l,1.520,,,
cbr4,0.312,,,
cbsa,-0.254,,,
cbsb,1.519,,,
cbwd,0.850,,,
cbx1a,1.691,,,
cbx1b,0.874,,,
cbx2,0.768,,,
cbx3a,1.748,,,
cbx3b,0.634,,,
cbx4,0.571,,,
cbx5,1.974,,,
cbx6a,0.438,,,
cbx6b,-0.092,,,
cbx7a,1.069,,,
cbx7b,-1.778,,,
cbx8a,0.418,,,
cbx8b,0.652,,,
cby1,0.687,,,
CC2D1A,0.234,,,
cc2d1b,0.324,,,
cc2d2a,-0.062,,,
ccar1,0.874,,,
ccar2,0.307,,,
ccbe1,-0.325,,,
ccdc102a,0.181,,,
ccdc103,-1.079,,,
ccdc105,-4.000,,,
ccdc106a,0.934,,,
ccdc106b,0.579,,,
ccdc113,-0.201,,,
ccdc114,-0.331,,,
ccdc115,0.886,,,
ccdc12,0.966,,,
ccdc120,0.351,,,
ccdc124,1.227,,,
ccdc125,0.634,,,
ccdc126,0.937,,,
CCDC127,-0.099,,,
ccdc127b,0.550,,,
ccdc13,-2.477,,,
ccdc130,0.434,,,
CCDC134,-1.301,,,
ccdc135,-1.046,,,
ccdc137,0.713,,,
ccdc14,-0.380,,,
ccdc141,-0.729,,,
ccdc142,0.331,,,
ccdc146,-1.222,,,
ccdc149a,-1.574,,,
ccdc149b,-0.092,,,
ccdc15,0.314,,,
ccdc151,-1.632,,,
ccdc153,-0.608,,,
ccdc157,-0.875,,,
ccdc160,0.470,,,
ccdc162,-4.000,,,
ccdc166,-4.000,,,
ccdc167,1.408,,,
ccdc169,-0.875,,,
ccdc17,-4.000,,,
ccdc170,-4.000,,,
ccdc171,-0.210,,,
ccdc172,-0.645,,,
ccdc173,-1.331,,,
ccdc174,0.805,,,
ccdc175,-0.986,,,
ccdc177,-0.281,,,
ccdc18,0.104,,,
ccdc180,-1.875,,,
ccdc181,-0.579,,,
ccdc186,0.574,,,
ccdc187,1.098,,,
ccdc191,-0.504,,,
ccdc22,0.812,,,
ccdc24,-1.115,,,
ccdc25,1.184,,,
ccdc28a,1.493,,,
ccdc28b,-0.127,,,
ccdc30,-0.024,,,
ccdc32,1.146,,,
ccdc33,-4.000,,,
ccdc36,-0.778,,,
ccdc39,0.093,,,
ccdc3a,-0.137,,,
ccdc3b,1.227,,,
ccdc40,0.218,,,
ccdc43,0.493,,,
ccdc47,1.406,,,
ccdc50,0.027,,,
ccdc51,0.720,,,
ccdc57,0.182,,,
ccdc58,1.017,,,
ccdc59,0.429,,,
ccdc61,0.708,,,
ccdc62,0.465,,,
ccdc65,-4.000,,,
CCDC69,0.197,,,
ccdc6a,0.774,,,
ccdc6b,0.466,,,
ccdc73,-4.000,,,
ccdc77,0.671,,,
ccdc78,-1.000,,,
ccdc80,0.191,,,
ccdc80l1,-0.131,,,
ccdc80l2,0.203,,,
ccdc82,0.537,,,
ccdc83,-0.745,,,
ccdc84,0.381,,,
ccdc85a,-0.350,,,
ccdc85al,-0.049,,,
ccdc85b,0.613,,,
ccdc85ca,0.254,,,
ccdc85cb,0.915,,,
ccdc87,-1.247,,,
ccdc88aa,0.111,,,
ccdc88b,-0.946,,,
ccdc88c,0.440,,,
ccdc9,0.705,,,
ccdc90b,0.622,,,
ccdc92,-0.632,,,
ccdc93,0.798,,,
ccdc96,-0.553,,,
ccdc97,0.458,,,
ccdc9b,-0.155,,,
ccka,-0.125,,,
CCKAR,-2.477,,,
cckb,2.125,,,
CCKBR,0.295,,,
ccl19a.1,-0.921,,,
ccl19a.2,-4.000,,,
ccl19b,0.496,,,
ccl20a.3,-1.097,,,
ccl20b,-1.079,,,
ccl25a,-1.135,,,
ccl25b,1.428,,,
ccl27a,1.303,,,
ccl27b,-4.000,,,
ccl32b.3,-4.000,,,
ccl33.2,-4.000,,,
ccl33.3,-4.000,,,
ccl34a.3,-4.000,,,
ccl34a.4,0.241,,,
ccl34b.1,0.701,,,
ccl34b.3,-4.000,,,
ccl34b.4,-1.363,,,
ccl34b.8,-4.000,,,
ccl34b.9,-0.933,,,
ccl35.1,-4.000,,,
ccl35.2,-4.000,,,
ccl36.1,-0.805,,,
ccl38.1,-4.000,,,
ccl38.6,-4.000,,,
ccl38a.3,-4.000,,,
ccl38a.4,-4.000,,,
ccl38a.5,-4.000,,,
ccl39.1,-4.000,,,
ccl39.2,-4.000,,,
ccl39.3,0.969,,,
ccl39.4,-4.000,,,
ccl39.5,-0.921,,,
ccl39.6,-4.000,,,
ccl39.7,-0.044,,,
ccl39.9,-4.000,,,
ccl39a.10,-4.000,,,
ccl44,0.808,,,
ccm2,0.220,,,
ccm2l,-1.198,,,
ccna1,-1.477,,,
ccna2,0.932,,,
ccnb1,1.504,,,
CCNB1IP1,-4.000,,,
ccnb2,0.777,,,
ccnb3,1.196,,,
ccnc,0.877,,,
ccnd1,0.944,,,
ccnd2a,1.572,,,
ccnd2b,-0.398,,,
ccnd3,-0.208,,,
ccndbp1,0.878,,,
ccne1,0.622,,,
ccne2,0.478,,,
ccnf,0.825,,,
ccng1,2.850,,,
ccng2,2.361,,,
ccnh,0.802,,,
ccni,2.182,,,
ccni2,-0.714,,,
ccnj,-1.222,,,
ccnjl,0.319,,,
ccnk,0.617,,,
ccnl1a,1.910,,,
ccnl1b,1.936,,,
ccnq,0.388,,,
ccnt1,0.603,,,
ccnt2a,0.922,,,
ccnt2b,1.248,,,
ccny,0.325,,,
ccnyl1,1.211,,,
ccpg1,0.062,,,
ccr10,-4.000,,,
ccr11.1,-0.052,,,
ccr12a,-0.428,,,
ccr12b.1,-0.574,,,
ccr12b.2,-1.523,,,
ccr2,-4.000,,,
ccr6a,-0.298,,,
ccr6b,-4.000,,,
ccr7,-4.000,,,
CCR8 (1 of many),-4.000,,,
ccr8.1,-1.398,,,
ccr9a,-0.161,,,
ccr9b,-2.176,,,
ccs,0.010,,,
ccsapa,-0.350,,,
ccsapb,0.409,,,
ccser1,0.710,,,
ccser2a,-0.099,,,
ccser2b,0.161,,,
cct2,2.268,,,
cct3,1.644,,,
cct4,2.091,,,
cct5,2.013,,,
cct6a,1.719,,,
cct7,1.695,,,
cct8,1.607,,,
ccz1,1.266,,,
cd109,-0.347,,,
cd151,-0.093,,,
cd151l,2.347,,,
cd164,0.972,,,
cd164l2,0.017,,,
cd180,-4.000,,,
cd209,-4.000,,,
cd22,-4.000,,,
cd226,-1.176,,,
cd247,-4.000,,,
cd247l,-1.222,,,
cd248a,0.668,,,
cd248b,0.612,,,
cd27,-4.000,,,
cd276,1.123,,,
cd28,-0.066,,,
cd28l,0.727,,,
cd2ap,1.607,,,
cd2bp2,1.292,,,
cd302,0.848,,,
cd36,0.079,,,
cd37,-1.875,,,
cd3eap,0.552,,,
cd4-1,-4.000,,,
cd4-2.2,-4.000,,,
